name,density
Abdera,58.02
Acharnes,553.95
Aegina,145
Agathonisi,10.48
Agia,19.72
Agia Paraskevi,7570
Agia Varvara,12929
Agioi Anargyroi-Kamatero,6393
Agios Dimitrios,13885
Agios Efstratios,7.09
Agios Nikolaos,50.92
Agios Vasileios,24.41
Agrafa,7.78
Agrinio,77.72
Aigaleo,12080
Aigialeia,73.46
Aktio-Vonitsa,26.96
Alexandria,90.36
Alexandroupoli,54.2
Aliartos,45.49
Alimos,6735
Almopia,29.38
Almyros,22.14
Alonnisos,18.71
Amari,20.28
Amfikleia-Elateia,24.59
Amfilochia,18.77
Amorgos,14.69
Ampelokipoi-Menemeni,6592
Amphipolis,28.63
Amyntaio,30.62
Anafi,6.74
Andravida-Kyllini,69.66
Andritsaina-Krestena,50.43
Andros,24.49
Agistri,66.28
Anogeia,30.96
Antiparos,22.38
Apokoronas,37.48
Archanes-Asterousia,52.27
Argithea,6.81
Argos-Mykines,47.62
Aristotelis,24
Arriana,23.74
Arta,101.05
Aspropyrgos,273.84
Astypalaia,12.14
Athens,20253
Athos,5.40
Kentrika Tzoumerka,15.24
Cephalonia,43.82
Chaidari,2140
Chalandri,6971
Chalcis,225.06
Chalki,7.96
Chalkidona,88.05
Chania,275.76
Chersonisos,87.87
Chios,61.45
Kerkyra,177.06
Corinth,95.22
Cythera,11.93
Dafni-Ymittos,15661
Delphi,24.04
Delta,130.17
Deskati,16.72
Didymoteicho,41
Dio-Olympos,52.46
Dionysos,471.89
Dirfys-Messapia,24.93
Distomo-Arachova-Antikyra,33.49
Dodoni,15.81
Domokos,18.66
Dorida,10.8
Doxato,69.16
Drama,90.48
Anatoliki Mani,23.02
Edessa,48.83
Elafonisos,37.31
Elassona,22.55
Elefsina,806.23
Elliniko-Argyroupoli,3397
Emmanouil Pappas,56.24
Eordaia,65.76
Epidaurus,25.76
Eretria,71.87
Ermionida,34.32
Erymanthos,19.54
Evrotas,22.33
Faistos,57.86
Farkadona,40.87
Farsala,32.17
Filadelfeia-Chalkidona,9546
Filiates,15.39
Filothei-Psychiko,4960
Florina,40.58
Folegandros,20.98
Fournoi Korseon,32.86
Fyli,351.79
Galatsi,15752
Gavdos,2.5
Georgios Karaiskakis,15.28
Glyfada,3298
Gortyna,37.65
Gortynia,11.85
Grevena,13.72
Heraklion,665.45
Hydra,41.09
Iasmos,28.6
Ikaria,32.84
Ierapetra,50.35
Igoumenitsa,56.56
Ilida,90.26
Ilio,9052
Ilioupoli,6367
Ioannina,256.48
Ios,17.08
Irakleia,50.57
Irakleio,10346
Istiaia-Aidipsos,43.75
Ithaca,27.27
Kaisariani,3468
Kalamaria,14075
Kalamata,158.16
Kalambaka,13.85
Kalavryta,13.06
Kallithea,24247
Kalymnos,123.2
Kantanos-Selino,17.08
Karditsa,88.16
Karpathos,20.26
Karpenisi,12.92
Karystos,20.23
Kasos,14.58
Kassandra,44.87
Kastellorizo,33.65
Kastoria,49.13
Katerini,122.2
Kato Nevrokopi,8.34
Kavala,211.59
Kea,14.52
Keratsini-Drapetsona,9504
Kifisia,1954
Kileler,23.29
Kilkis,34.63
Kimolos,15.74
Kissamos,34.32
Komotini,79.89
Konitsa,8.05
Kordelio-Evosmos,6274
Korydallos,16353
Kos,107.45
Kozani,95.9
Kropia,237.05
Kymi-Aliveri,38.34
Kythnos,15.35
Lake Plastiras,20.61
Lamia,79.48
Langadas,32.09
Larissa,435.61
Lavreotiki,125.86
Lefkada,62.22
Leipsoi,39.6
Lemnos,36.76
Leros,110.18
Lesbos,55.35
Livadeia,51.64
Lokroi,36.58
Loutraki-Agioi Theodoroi,68.37
Lykovrysi-Pefki,7840
Makrakomi,21.46
Malevizi,70.84
Mandra-Eidyllia,43.82
Mantoudi-Limni-Agia Anna,23.36
Marathon,105.82
Markopoulo Mesogaias,166.71
Maroneia-Sapes,25.97
Amaroussio,5465
Megalopoli,15.18
Meganisi,44.46
Megara,103.45
Messini,45.72
Metamorfosi,5002
Metsovo,19.57
Milos,29.57
Minoa Pediada,47.41
Missolonghi,53.11
Molos-Agios Konstantinos,40.97
Monemvasia,23.12
Moschato-Tavros,7609
Mouzaki,53.3
Myki,25.66
Mykonos,88.17
Mylopotamos,39.51
Nafpaktia,30.84
Nafplio,81.51
Naousa,80.4
Naxos and Mikres Kyklades,36.77
Nea Ionia,15722
Nea Propontida,79.83
Nea Smyrni,21711
Nea Zichni,34.05
Neapoli-Sykies,6996
Nemea,35.59
Nestorio,5.06
Nestos,32.94
Nikaia-Agios Ioannis Rentis,9834
Nikolaos Skoufas,64.14
Nisyros,18.54
Voria Kynouria,20.09
Voreia Tzoumerka,12.06
Oichalia,27.77
Oinousses,49.06
Olympia,30.16
Oraiokastro,114.62
Orchomenos,29.86
Orestiada,40.7
Orestida,38.59
Oropedio Lasithiou,23.6
Oropos,93.06
Paiania,419.33
Paionia,34.29
Palaio Faliro,14683
Palamas,48.27
Pallini,1094
Pangaio,45.33
Papagou-Cholargos,5529
Paranesti,4.93
Parga,45.57
Paros,63.75
Patmos,67.79
Patras,631.85
Pavlos Melas,3515
Paxi,80.64
Pella,97
Penteli,940.91
Perama,1812
Peristeri,14601
Petroupoli,7582
Pineios,120.68
Piraeus,16745
Platanias,36.06
Pogoni,12.79
Polygyros,23.04
Poros,86.36
Prespes,4.29
Preveza,78.97
Prosotsani,32.17
Psara,10.74
Pydna-Kolindros,50.27
Pylaia-Chortiatis,318.32
Pyli,21.25
Pylos-Nestor,38.36
Pyrgos,113.45
Rafina-Pikermi,325.65
Rethymno,118.93
Rhodes,81.92
Rigas Feraios,21.52
Salamina,363.98
Samos,71.19
Samothrace,15.24
Thira,150.89
Saronikos,171.37
Serifos,16.78
Serres,127.14
Servia-Velventos,15.61
Sfakia,5.17
Sifnos,34.81
Sikinos,5.6
Sikyona,37.88
Sintiki,24.66
Sithonia,22.92
Sitia,43.81
Skiathos,116
Skopelos,48.87
Skydra,86.49
Skyros,12.15
Sofades,29.86
Soufli,13.41
Souli,20.68
South Kynouria,13.02
Notios Pilios,29.09
Sparti,30.71
Spata-Artemida,339.93
Spetses,139.38
Stylida,30.53
Symi,39.45
Syros-Ermoupoli,193.35
Tanagra,46.2
Tempi,26.76
Thasos,35.39
Thebes,43.8
Thermaikos,282.63
Thermi,341.14
Thermo,23.49
Thessaloniki,19048
Tilos,7.95
Tinos,41.7
Topeiros,39.11
Trifylia,51.74
Trikala,129.53
Tripoli,32.79
Troizinia-Methana,34.18
Tyrnavos,50.1
Vari-Voula-Vouliagmeni,1241
Velo-Vocha,104.84
Veria,82.8
Viannos,27.01
Visaltia,35.13
Voio,20.01
Volos,369.18
Volvi,31.24
Vrilissia,6890
Vyronas,7025
Dytiki Achaia,51.74
Dytiki Mani,16.39
Xanthi,113.82
Xiromero,22.84
Xylokastro-Evrostina,44.46
Zacharo,49.76
Zagora-Mouresi,42.84
Zagori,4.37
Zakynthos,95.4
Ziros,39.91
Zitsa,26.35
Zografou,9561