region,area,population,fertilityrate
Abruzzo,10795,1332247,1.28
Basilicata,9992,570365,1.17
Calabria,15080,1965128,1.28
Campania,13595,5839084,1.34
Emilia-Romagna,22451,4448841,1.40
Friuli-Venezia Giulia,7844,1217872,1.33
Lazio,17207,5898124,1.33
Liguria,5241,1565307,1.30
Lombardia,23861,10019166,1.42
Marche,9366,1538055,1.32
Molise,4438,310449,1.15
Piemonte,25399,4392526,1.35
Puglia,19363,4063888,1.25
Sardegna,24090,1653135,1.07
Sicilia,25707,5056641,1.33
Toscana,22993,3742437,1.30
Trentino-Alto Adige,13607,1062860,1.64
Umbria,8456,888908,1.26
Valle d'Aosta,3263,126883,1.41
Veneto,18379,4907529,1.38