番号,都道府県,密度,人口密度
1,北海道,1,68.6
2,青森,1,135.7
3,岩手,1,83.8
4,宮城,2,320.5
5,秋田,1,87.9
6,山形,1,120.4
7,福島,1,138.8
8,茨城,2,478.6
9,栃木,2,308.2
10,群馬,2,310.2
11,埼玉,3,1912
12,千葉,3,1206.8
13,東京,3,6168.1
14,神奈川,3,3778.2
15,新潟,1,183.2
16,富山,2,251.2
17,石川,2,275.8
18,福井,1,187.8
19,山梨,1,187
20,長野,1,154.8
21,岐阜,1,191.4
22,静岡,2,475.8
23,愛知,3,1446.9
24,三重,2,314.5
25,滋賀,2,351.8
26,京都,2,565.9
27,大阪,3,4639.9
28,兵庫,2,659.1
29,奈良,2,369.8
30,和歌山,2,204
31,鳥取,1,163.6
32,島根,1,103.5
33,岡山,2,270.2
34,広島,2,335.5
35,山口,2,229.9
36,徳島,1,182.3
37,香川,2,520.5
38,愛媛,2,244.2
39,高知,1,102.5
40,福岡,3,1023.4
41,佐賀,2,341.4
42,長崎,2,333.4
43,熊本,2,241.2
44,大分,1,184
45,宮崎,1,142.8
46,鹿児島,1,179.4
47,沖縄,2,628.7