name,popdens
"Ben Slimane",72.3
"Khouribga",117.4
"Settat",98.1
"El Jadida",183.8
"Safi",120.9
"Boulemane",12.9
"Fès",181.1
"Sefrou",51.9
"Zouagha-Moulay Yacoub",30.1
"Kénitra",246
"Sidi Kacem",170.5
"Casablanca",3378.9
"Mohammedia",9479
"Assa-Zag",2.4
"Guelmim",5.8
"Tan-Tan",4.1
"Tata",4.7
"Laâyoune",6.2
"Al Haouz",78
"Chichaoua",49.4
"El Kelaâ des Sraghna",75
"Essaouira",71.5
"Marrakech",640.8
"El Hajeb",98
"Errachidia",94
"Ifrane",43.3
"Khénifra",41.5
"Meknès",400
"Berkane Taourirt",136.2
"Figuig",2.3
"Jerada",5.7
"Nador",118.9
"Oujda Angad",24.5
"Khémisset",62.8
"Rabat",5367
"Salé",1184.9
"Skhirate-Témara",849.4
"Agadir-Ida ou Tanane",212.4
"Chtouka-Aït Baha",132.1
"Inezgane-Aït Melloul",186.5
"Ouarzazate",12
"Taroudannt",47.4
"Tiznit",49.5
"Zagora",60.8
"Azilal",50.5
"Béni Mellal",142.5
"Chefchaouen",120.6
"Fahs Anjra",293.1
"Larache",169.9
"Tanger-Assilah",883.6
"Tétouan",189.1
"Al Hoceïma",112.4
"Taounate",36.1
"Taza",49.5