value,province,income
86,Aceh,1335
718,Bali,1486
84,Bangka Belitung,1639
1237,Banten,1703
94,Bengkulu,1130
1030,Jawa Tengah,1082
16,Kalimantan Tengah,1727
47,Sulawesi Tengah,1464
81,Jawa Timur,1260
27,Kalimantan Timur,2145
105,Nusa Tenggara Timur,969
101,Gorontalo,1075
15328,Jakarta Raya,2583
68,Jambi,1481
234,Lampung,1257
36,Maluku,1230
36,Maluku Utara,1320
174,Sulawesi Utara,1628
191,Sumatera Utara,1423
10,Papua,2078
73,Riau,1412
241,Kepulauan Riau,2324
66,Sulawesi Tenggara,1275
103,Kalimantan Selatan,1493
182,Sulawesi Selatan,1446
88,Sumatera Selatan,1261
1320,Jawa Barat,1513
33,Kalimantan Barat,1475
260,Nusa Tenggara Barat,1122
9,Papua Barat,1574
76,Sulawesi Barat,901
124,Sumatera Barat,1285
1174,Yogyakarta,1109