County	Population	Density 	Women				
Oslo	599,230	12.10	79.7
Akershus	545,653	11.00	76.4
Hordaland	484,240	9.80	82.4
Rogaland	436,087	8.80	81.2
Sør-Trøndelag	294,066	5.90	77.1
Østfold	274,827	5.50	77.7
Buskerud	261,110	5.30	78.3
Møre og Romsdal	253,904	5.10	78.8
Nordland	237,280	4.80	76.9
Vestfold	233,705	4.70	78.6
Hedmark	191,622	3.80	78.2
Oppland	186,087	3.70	79.3
Vest-Agder	172,408	3.50	83.2			
Telemark	169,185	3.40	82.3				
Troms	157,554	3.20	79			
Nord-Trøndelag	132,140	2.60	80.7			
Aust-Agder	110,048	2.20	79.5				
Sogn og Fjordane	107,742	2.10	77.1				
Finnmark	73,417	1.40	78.2				
		